ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Desano-1_tongue-1,,Desano,1_tongue,nḗ̠riru,nḗ̠riru,,,KochGrünberg2014[812],,,,
Yupua-1_tongue-1,,Yupua,1_tongue,dṓlo,dṓlo,,,KochGrünberg2014[812],,,,
Yahuna-1_tongue-1,,Yahuna,1_tongue,nē̠nóke̠ka,nē̠nóke̠ka,,,KochGrünberg2014[812],,,,
Koretu-1_tongue-1,,Koretu,1_tongue,siáme̠lako,siáme̠lako,,,KochGrünberg2014[812],,,,
Yupua-1_tongue-2,,Yupua,1_tongue,(n)dṓlo,dṓlo,,,KochGrünberg2014[812],,,,
Desano-2_mouth-1,,Desano,2_mouth,dix̯sī́ro,dix̯sī́ro,,,KochGrünberg2014[812],,,,
Yupua-2_mouth-1,,Yupua,2_mouth,dix̯(t)si,dix̯si,,,KochGrünberg2014[812],,,,
Yahuna-2_mouth-1,,Yahuna,2_mouth,dihokópe̠,dihokópe̠,,,KochGrünberg2014[812],,,,
Koretu-2_mouth-1,,Koretu,2_mouth,sírise̠pu̠,sírise̠pu̠,,,KochGrünberg2014[812],,,,
Yahuna-2_mouth-2,,Yahuna,2_mouth,lihokópe̠,lihokópe̠,,,KochGrünberg2014[812],,,,
Desano-3_lips-1,,Desano,3_lips,dix̯síbero,dix̯síbero,,,KochGrünberg2014[812],,,,
Yupua-3_lips-1,,Yupua,3_lips,dix̯(t)sigat(š)i,dix̯sigati,,,KochGrünberg2014[812],,,,
Yahuna-3_lips-1,,Yahuna,3_lips,dihé̠a,dihé̠a,,,KochGrünberg2014[812],,,,
Koretu-3_lips-1,,Koretu,3_lips,sírise̠pu̠,sírise̠pu̠,,,KochGrünberg2014[812],,,,
Yahuna-3_lips-2,,Yahuna,3_lips,lihé̠a,lihé̠a,,,KochGrünberg2014[812],,,,
Desano-4_tooth-1,,Desano,4_tooth,guhī́kuli,guhī́kuli,,,KochGrünberg2014[812],,,,
Yupua-4_tooth-1,,Yupua,4_tooth,goxpé̠ga,goxpé̠ga,,,KochGrünberg2014[812],,,,
Yahuna-4_tooth-1,,Yahuna,4_tooth,ōpía,ōpía,,,KochGrünberg2014[812],,,,
Koretu-4_tooth-1,,Koretu,4_tooth,síkoḥiri,síkoḥiri,,,KochGrünberg2014[812],,,,
Yupua-4_tooth-2,,Yupua,4_tooth,góxpe̠ga,góxpe̠ga,,,KochGrünberg2014[812],,,,
Desano-5_nose-1,,Desano,5_nose,ī́ṅinu,ī́ṅinu,,,KochGrünberg2014[812],,,,
Yupua-5_nose-1,,Yupua,5_nose,ḗge̥le,ḗge̥le,,,KochGrünberg2014[812],,,,
Yahuna-5_nose-1,,Yahuna,5_nose,ṓme̠,ṓme̠,,,KochGrünberg2014[812],,,,
Koretu-5_nose-1,,Koretu,5_nose,sikomé̠o,sikomé̠o,,,KochGrünberg2014[812],,,,
Desano-6_nostril-1,,Desano,6_nostril,íṅigobe̠ri,íṅigobe̠ri,,,KochGrünberg2014[812],,,,
Yahuna-6_nostril-1,,Yahuna,6_nostril,ṓme̠kope̠a,ṓme̠kope̠a,,,KochGrünberg2014[812],,,,
Desano-7_eye-1,,Desano,7_eye,kuī́ri,kuī́ri,,,KochGrünberg2014[812],,,,
Yupua-7_eye-1,,Yupua,7_eye,yḗle̥,yḗle̥,,,KochGrünberg2014[812],,,,
Yahuna-7_eye-1,,Yahuna,7_eye,ya'koá,ya'koá,,,KochGrünberg2014[812],,,,
Koretu-7_eye-1,,Koretu,7_eye,siakṓkia,siakṓkia,,,KochGrünberg2014[812],,,,
Desano-8_ear-1,,Desano,8_ear,gā'mī́no,gā'mī́no,,,KochGrünberg2014[812],,,,
Yupua-8_ear-1,,Yupua,8_ear,(ṅ)gámu,gámu,,,KochGrünberg2014[812],,,,
Yahuna-8_ear-1,,Yahuna,8_ear,āmó,āmó,,,KochGrünberg2014[812],,,,
Koretu-8_ear-1,,Koretu,8_ear,sikiaū́lo,sikiaū́lo,,,KochGrünberg2014[812],,,,
Yupua-8_ear-2,,Yupua,8_ear,(g)ámu,ámu,,,KochGrünberg2014[812],,,,
Yahuna-8_ear-2,,Yahuna,8_ear,ā'mé̥,ā'mé̥,,,KochGrünberg2014[812],,,,
Yupua-8_ear-3,,Yupua,8_ear,(n)g(n)ámu,gámu,,,KochGrünberg2014[812],,,,
Desano-11_reamerintheearlobe-1,,Desano,11_reamerintheearlobe,ga'minotsā́lioxka,ga'minotsā́lioxka,,,KochGrünberg2014[812],,,,
Yahuna-11_reamerintheearlobe-1,,Yahuna,11_reamerintheearlobe,amukótoa,amukótoa,,,KochGrünberg2014[812],,,,
Yahuna-11_reamerintheearlobe-2,,Yahuna,11_reamerintheearlobe,amokótoa,amokótoa,,,KochGrünberg2014[812],,,,
Desano-12_holeinthelowerlip-1,,Desano,12_holeinthelowerlip,dix̯sipuligobe̠,dix̯sipuligobe̠,,,KochGrünberg2014[812],,,,
Yahuna-12_holeinthelowerlip-1,,Yahuna,12_holeinthelowerlip,hāt(s)íkope̠a,hātíkope̠a,,,KochGrünberg2014[812],,,,
Desano-13_longandthincylinderinthelowerlip-1,,Desano,13_longandthincylinderinthelowerlip,disx̯sípulitsai̯ánidex̯ka,disx̯sípulitsai̯ánidex̯ka,,,KochGrünberg2014[812],,,,
Yahuna-13_longandthincylinderinthelowerlip-1,,Yahuna,13_longandthincylinderinthelowerlip,hāt(s)ia,hātia,,,KochGrünberg2014[812],,,,
Yahuna-14_holeinthenasalseptum-1,,Yahuna,14_holeinthenasalseptum,ṓme̠kenikope̠a,ṓme̠kenikope̠a,,,KochGrünberg2014[812],,,,
Yahuna-15_pininthenasalseptum-1,,Yahuna,15_pininthenasalseptum,ṓme̠tḗ̠ni(e),ṓme̠tḗ̠ni,,,KochGrünberg2014[812],,,,
Desano-16_forehead-1,,Desano,16_forehead,diapu,diapu,,,KochGrünberg2014[812],,,,
Yupua-16_forehead-1,,Yupua,16_forehead,de̥xpé̥li,de̥xpé̥li,,,KochGrünberg2014[812],,,,
Yahuna-16_forehead-1,,Yahuna,16_forehead,kóa,kóa,,,KochGrünberg2014[812],,,,
Koretu-16_forehead-1,,Koretu,16_forehead,sikoayéke̥,sikoayéke̥,,,KochGrünberg2014[812],,,,
Desano-17_head-1,,Desano,17_head,dex̯pū́ru,dex̯pū́ru,,,KochGrünberg2014[812],,,,
Yupua-17_head-1,,Yupua,17_head,kúe̥le̥,kúe̥le̥,,,KochGrünberg2014[812],,,,
Yahuna-17_head-1,,Yahuna,17_head,lu̠pu̠kóa,lu̠pu̠kóa,,,KochGrünberg2014[812],,,,
Koretu-17_head-1,,Koretu,17_head,sī́roḥo,sī́roḥo,,,KochGrünberg2014[812],,,,
Yahuna-17_head-2,,Yahuna,17_head,le̥pokóa,le̥pokóa,,,KochGrünberg2014[812],,,,
Yahuna-17_head-3,,Yahuna,17_head,de̥pokóa,de̥pokóa,,,KochGrünberg2014[812],,,,
Desano-18_headhair-1,,Desano,18_headhair,póali,póali,,,KochGrünberg2014[812],,,,
Yupua-18_headhair-1,,Yupua,18_headhair,póa,póa,,,KochGrünberg2014[812],,,,
Yahuna-18_headhair-1,,Yahuna,18_headhair,lu̠pú̠komihia,lu̠pú̠komihia,,,KochGrünberg2014[812],,,,
Koretu-18_headhair-1,,Koretu,18_headhair,sī́roḥōre,sī́roḥōre,,,KochGrünberg2014[812],,,,
Yahuna-18_headhair-2,,Yahuna,18_headhair,de̥pókomihia,de̥pókomihia,,,KochGrünberg2014[812],,,,
Desano-19_eyebrows-1,,Desano,19_eyebrows,kuísipóali,kuísipóali,,,KochGrünberg2014[812],,,,
Yupua-19_eyebrows-1,,Yupua,19_eyebrows,yímogat(š)i ,yímogati,,,KochGrünberg2014[812],,,,
Yahuna-19_eyebrows-1,,Yahuna,19_eyebrows,yakólipite̠koa,yakólipite̠koa,,,KochGrünberg2014[812],,,,
Koretu-19_eyebrows-1,,Koretu,19_eyebrows,siagóne̥keri,siagóne̥keri,,,KochGrünberg2014[812],,,,
Desano-20_eyelashes-1,,Desano,20_eyelashes,kuísipóali,kuísipóali,,,KochGrünberg2014[812],,,,
Yupua-20_eyelashes-1,,Yupua,20_eyelashes,yímogat(š)i ,yímogati,,,KochGrünberg2014[812],,,,
Yahuna-20_eyelashes-1,,Yahuna,20_eyelashes,yakotáya,yakotáya,,,KochGrünberg2014[812],,,,
Koretu-20_eyelashes-1,,Koretu,20_eyelashes,siakorasé̠ḥoiri,siakorasé̠ḥoiri,,,KochGrünberg2014[812],,,,
Yahuna-20_eyelashes-2,,Yahuna,20_eyelashes,yakotá(d)ya,yakotáya,,,KochGrünberg2014[812],,,,
Desano-21_beard-1,,Desano,21_beard,dix̯sípoali,dix̯sípoali,,,KochGrünberg2014[812],,,,
Yupua-21_beard-1,,Yupua,21_beard,dix̯sipoa,dix̯sipoa,,,KochGrünberg2014[812],,,,
Yahuna-21_beard-1,,Yahuna,21_beard,dihe̠táya,dihe̠táya,,,KochGrünberg2014[812],,,,
Koretu-21_beard-1,,Koretu,21_beard,sigoi̯tagiáḥoiri,sigoi̯tagiáḥoiri,,,KochGrünberg2014[812],,,,
Yahuna-21_beard-2,,Yahuna,21_beard,lihe̠táya,lihe̠táya,,,KochGrünberg2014[812],,,,
Koretu-21_beard-2,,Koretu,21_beard,goi̯takiáḥoiri,goi̯takiáḥoiri,,,KochGrünberg2014[812],,,,
Desano-22_pubichair-1,,Desano,22_pubichair,gé̥lapoali,gé̥lapoali,,,KochGrünberg2014[812],,,,
Yupua-22_pubichair-1,,Yupua,22_pubichair,nūlipóa,nūlipóa,,,KochGrünberg2014[812],,,,
Yahuna-22_pubichair-1,,Yahuna,22_pubichair,pūluitá,pūluitá,,,KochGrünberg2014[812],,,,
Desano-23_underarmhair-1,,Desano,23_underarmhair,kādoxkápoali,kādoxkápoali,,,KochGrünberg2014[812],,,,
Desano-24_cheek-1,,Desano,24_cheek,uayúpona,uayúpona,,,KochGrünberg2014[812],,,,
Yahuna-24_cheek-1,,Yahuna,24_cheek,ye̠té̠a,ye̠té̠a,,,KochGrünberg2014[812],,,,
Desano-25_chin-1,,Desano,25_chin,dix̯sípuliru,dix̯sípuliru,,,KochGrünberg2014[812],,,,
Yahuna-25_chin-1,,Yahuna,25_chin,dihe̠kóa,dihe̠kóa,,,KochGrünberg2014[812],,,,
Desano-26_shoulder-1,,Desano,26_shoulder,komẽ́pero,komẽ́pero,,,KochGrünberg2014[812],,,,
Yupua-26_shoulder-1,,Yupua,26_shoulder,di(x̯)kagúu,dikagúu,,,KochGrünberg2014[812],,,,
Yahuna-26_shoulder-1,,Yahuna,26_shoulder,hihóa,hihóa,,,KochGrünberg2014[812],,,,
Koretu-26_shoulder-1,,Koretu,26_shoulder,sikiakóme̠no,sikiakóme̠no,,,KochGrünberg2014[812],,,,
Desano-27_arm-1,,Desano,27_arm,de̥xká,de̥xká,,,KochGrünberg2014[812],,,,
Yupua-27_arm-1,,Yupua,27_arm,di(x̯)ka,dika,,,KochGrünberg2014[812],,,,
Yahuna-27_arm-1,,Yahuna,27_arm,nikapé̠pe̠,nikapé̠pe̠,,,KochGrünberg2014[812],,,,
Koretu-27_arm-1,,Koretu,27_arm,silikíape̥,silikíape̥,,,KochGrünberg2014[812],,,,
Desano-28_elbow-1,,Desano,28_elbow,de̥xkápuliru,de̥xkápuliru,,,KochGrünberg2014[812],,,,
