ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	COGID	MORPHEMES	ALIGNMENT
2081	Yupua	A burnt house	ue̥é̥ uhúā(d)ya	ue̥é̥_uhúāya	u ɨ ɨ + u h u aː j a		1 2	1339		u ɨ ɨ + u h u aː j a
1790	Desano	A lot of	ue̥liniḗ̠ro	ue̥liniḗ̠ro	u ɨ ɺ i n i ɛː ɾ ɔ		4	1158		u ɨ ɺ i n i ɛː ɾ ɔ
1791	Yupua	A lot of	paxhá	paxhá	p a x h a		7	1159		p a x h a
1792	Yahuna	A lot of	ni'kimaká	ni'kimaká	n i ʔ k i m a k a		6	1160		n i ʔ k i m a k a
1793	Koretu	A lot of	hā́ne̠	hā́ne̠	h aː n ɛ		5	1161		h aː n ɛ
1709	Desano	Abíu	ex̯tóga	ex̯tóga	e ç t ɔ g a		9	1106		e ç t ɔ g a
1710	Yahuna	Abíu	kā́laga	kā́laga	k aː ɺ a g a		10	1107		k aː ɺ a g a
1426	Desano	Acará	uali	uali	u a ɺ i		12	929		u a ɺ i
1427	Yupua	Acará	uā́li	uā́li	u aː ɺ i		12	929		u aː ɺ i
1176	Yupua	Agutiuaya 	bó(x)so	bóso	b ɔ s ɔ		15	773		b ɔ s ɔ
1177	Yahuna	Agutiuaya 	bohó	bohó	b ɔ h ɔ		15	773		b ɔ h ɔ
1172	Desano	Agutí	bui	bui	b u i		18	772		b u - - i
1173	Yupua	Agutí	búi	búi	b u i		18	772		b u - - i
1174	Yahuna	Agutí	būía	būía	b uː i a		18	772		b uː - i a
1175	Koretu	Agutí	b(o)óto	bóto	b ɔ t ɔ		18	772		b ɔ t - ɔ
1435	Desano	Alligator	diákea	diákea	d i a k e a		23	937		d i a k e a
1436	Yupua	Alligator	áūli	áūli	a uː ɺ i		24	938		a uː ɺ - - - i
1437	Yahuna	Alligator	gáhua	gáhua	g a h u a		25	939		g a h u a
1438	Koretu	Alligator	ualíase̥	ualíase̥	u a ɺ i a s ɨ		24	938		u a ɺ i a s ɨ
1439	Yahuna	Alligator	gáhue	gáhue	g a h u e		25	939		g a h u e
1319	Yahuna	Anacoró	kolópagá	kolópagá	k ɔ ɺ ɔ p a g a		29	862		k ɔ ɺ ɔ p a g a
1261	Desano	Anacã	doé	doé	d ɔ e		31	828		d ɔ e
1262	Yahuna	Anacã	oalákaka	oalákaka	ɔ a ɺ a k a k a		32	829		ɔ a ɺ a k a k a
1263	Koretu	Anacã	uarákie̥	uarákie̥	u a ɾ a k i ɨ		32	829		u a ɾ a k i - ɨ
1320	Desano	Andurĩ	mīnóa	mīnóa	m iː n ɔ a		35	863		m iː n ɔ a
161	Desano	Ankle	ā̃nyã́nyaru	ā̃nyã́nyaru	ãː n j ã n j a ɾ u		37	110		ãː n j ã n j a ɾ u
162	Yahuna	Ankle	ūpuálikaka	ūpuálikaka	uː p u a ɺ i k a k a		38	111		uː p u a ɺ i k a k a
1817	Yahuna	Another	āpiká	āpiká	aː p i k a		40	1173		aː p i k a
1818	Koretu	Another	aháke̥ 	aháke̥	a h a k ɨ		40	1173		a h a k ɨ
1485	Desano	Ant	ē̠má	ē̠má	ɛː m a		43	973		ɛː m - a
1486	Yupua	Ant	ī́mu	ī́mu	iː m u		43	973		iː m - u
1487	Yahuna	Ant	ē̠múa	ē̠múa	ɛː m u a		43	973		ɛː m u a
1488	Koretu	Ant	aútone̠ne̥	aútone̠ne̥	a u t ɔ n ɛ n ɨ		44	974		a u t ɔ n ɛ n ɨ
1489	Koretu	Ant	aú(n)tone̠ne̥	aútone̠ne̥	a u t ɔ n ɛ n ɨ		44	974		a u t ɔ n ɛ n ɨ
260	Desano	Anus	gé̥labe̠	gé̥labe̠	g ɨ ɺ a b ɛ		49	172		g ɨ ɺ a b ɛ -
261	Yupua	Anus	gé̥tago	gé̥tago	g ɨ t a g ɔ		50	173		- - g ɨ t a g - - ɔ
262	Yahuna	Anus	itopé̠a	itopé̠a	i t ɔ p ɛ a		49	172		- i t ɔ p ɛ a
263	Koretu	Anus	sike̥tágoḥe̠	sike̥tágoḥe̠	s i k ɨ t a g ɔ ħ ɛ		50	173		s i k ɨ t a g ɔ ħ ɛ
264	Yupua	Anus	yagé̥tago	yagé̥tago	j a g ɨ t a g ɔ		50	173		j a g ɨ t a g - - ɔ
1317	Desano	Aracuã	uā́galo	uā́galo	u aː g a ɺ ɔ		55	861		u aː g a ɺ ɔ
1318	Desano	Aracuã	uā́gāro	uā́gāro	u aː g aː ɾ ɔ		55	861		u aː g aː ɾ ɔ
1422	Desano	Aracú	bóleka	bóleka	b ɔ ɺ e k a		58	928		b ɔ ɺ e k - a
1423	Yupua	Aracú	bṓle̠ka	bṓle̠ka	b ɔː ɺ ɛ k a		58	928		b ɔː ɺ ɛ k - a
1424	Yahuna	Aracú	botáka	botáka	b ɔ t a k a		58	928		b ɔ t a k - a
1425	Koretu	Aracú	pṓle̠kia	pṓle̠kia	p ɔː ɺ ɛ k i a		58	928		p ɔː ɺ ɛ k i a
93	Desano	Arm	de̥xká	de̥xká	d ɨ x k a		63	63		d ɨ x k a
94	Yupua	Arm	di(x̯)ka	dika	d i k a		63	63		d i - k a
95	Yahuna	Arm	nikapé̠pe̠	nikapé̠pe̠	n i k a p ɛ p ɛ		64	64		n i - - k a p ɛ p ɛ
96	Koretu	Arm	silikíape̥	silikíape̥	s i ɺ i k i a p ɨ		64	64		s i ɺ i k i - a p ɨ
1193	Desano	Armadillo	pāmú	pāmú	p aː m u		68	783		p aː m u - -
1194	Yupua	Armadillo	pamólo	pamólo	p a m ɔ ɺ ɔ		68	783		p a m ɔ ɺ ɔ
1195	Yahuna	Armadillo	pamúa	pamúa	p a m u a		68	783		p a m u - a
1196	Koretu	Armadillo	hāmu	hāmu	h aː m u		68	783		h aː m u - -
1201	Desano	Armadillo shell	pāmúgax(t)siro	pāmúgaxsiro	p aː m u g a x s i ɾ ɔ		73	787		p aː m u g a x s i ɾ ɔ
191	Desano	Armpit	kā́doxka	kā́doxka	k aː d ɔ x k a		75	131		k aː d ɔ x k a
192	Yahuna	Armpit	kākope̠roka	kākope̠roka	k aː k ɔ p ɛ ɾ ɔ k a		76	132		k aː k ɔ p ɛ ɾ ɔ k a
710	Desano	Arrow	ā́noi̯ye	ā́noi̯ye	aː n ɔ j j e		78	476		aː n ɔ j j e
711	Yupua	Arrow	gā́le̥e	gā́le̥e	g aː ɺ ɨ e		80	477		g aː ɺ ɨ e
712	Yahuna	Arrow	ālía	ālía	aː ɺ i a		80	477		- aː ɺ i a
713	Koretu	Arrow	kiánekia	kiánekia	k i a n e k i a		79	478		k i a n e k i a
714	Desano	Arrow	ā́noye	ā́noye	aː n ɔ j e		78	476		aː n ɔ - j e
715	Yupua	Arrow	(ṅ)gā́le̥e	gā́le̥e	g aː ɺ ɨ e		80	477		g aː ɺ ɨ e
716	Yahuna	Arrow	ālí(e)	ālí	aː ɺ i		80	477		- aː ɺ i -
366	Desano	Ash	nuxhoá	nuxhoá	n u x h ɔ a		86	247		n u x h ɔ a
367	Yahuna	Ash	ū́a	ū́a	uː a		87	248		uː a
