ID	CONCEPT	CONCEPT_IN_SOURCE	DATASET	DOCULECT	GLOTTOCODE	VALUE	FORM	TOKENS	LID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
2320	I am hungry	I am hungry	kochtukanoan	K-Yupua	jupu1235	yee̥bóodyée̥	yee̥bóodyée̥	j e ɨ b ɔ ɔ dʒ e ɨ	kochtukanoan-Yupua-760_iamhungry-1	6 7 7 1 7 7 1 7 7	AXYBYYBYZ	JEIPUUTEI	7	7.J.C 7.E.V 7.I.V 7.P.C 7.U.V 7.U.V 7.T.C 7.E.V 7.I.V	2.0 1.5 1.3 1.75 1.3 1.3 1.75 1.3 0.8	jeɨbɔɔdʒeɨ	0	1
2344	I cut with my knife	I cut with my knife	kochtukanoan	K-Yupua	jupu1235	ya(d)yé̥ipahi nii yé̥isu	yayé̥ipahi_nii_yé̥isu	j a j ɨ i p a h i + n i i + j ɨ i s u	kochtukanoan-Yupua-797_icutwithmyknife-1	6 7 6 7 7 1 7 3 7 9 4 7 7 9 6 7 7 3 7	AXBYYBYBZ_AXZ_AXYBZ	JAJIIPAHI_NII_JIISY	7	7.J.C 7.A.V 7.J.C 7.I.V 7.I.V 7.P.C 7.A.V 7.H.C 7.I.V 7._._ 7.N.C 7.I.V 7.I.V 7._._ 7.J.C 7.I.V 7.I.V 7.S.C 7.Y.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8 0.0 2.0 1.5 0.8 0.0 2.0 1.5 1.3 1.75 0.8	jajɨipahi+nii+jɨisu	0	2
2334	I go to you	I go to you	kochtukanoan	K-Yupua	jupu1235	mé̥e̥pe̠e̠ yee̥uaatoho	mé̥e̥pe̠e̠_yee̥uaatoho	m ɨ ɨ p ɛ ɛ + j e ɨ w a a t ɔ h ɔ	kochtukanoan-Yupua-771_igotoyou-1	4 7 7 1 7 7 9 6 7 7 6 7 7 1 7 3 7	AXYBYZ_AXYBYYBYBZ	MIIPEE_JEIWAATUHU	7	7.M.C 7.I.V 7.I.V 7.P.C 7.E.V 7.E.V 7._._ 7.J.C 7.E.V 7.I.V 7.W.C 7.A.V 7.A.V 7.T.C 7.U.V 7.H.C 7.U.V	2.0 1.5 1.3 1.75 1.3 0.8 0.0 2.0 1.5 1.3 1.75 1.3 1.3 1.75 1.3 1.75 0.8	mɨɨpɛɛ+jeɨwaatɔhɔ	0	3
2335	I go to you	I go to you	kochtukanoan	K-Yupua	jupu1235	yée̥ uá(a)ge̥ apé̠na	yée̥_uáge̥_apé̠na	j e ɨ + w a g ɨ + a p ɛ n a	kochtukanoan-Yupua-771_igotoyou-2	6 7 7 9 6 7 1 7 9 7 1 7 4 7	AXZ_AXBZ_XBYBZ	JEI_WAKI_APENA	7	7.J.C 7.E.V 7.I.V 7._._ 7.W.C 7.A.V 7.K.C 7.I.V 7._._ 7.A.V 7.P.C 7.E.V 7.N.C 7.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 0.8 0.0 1.5 1.75 1.3 1.75 0.8	jeɨ+wagɨ+apɛna	0	4
3082	I swing in the hammock	I swing in the hammock	kochtukanoan	K-Yahuna	yahu1241	yibáukuni	yibáukuni	j i b a u k u n i	kochtukanoan-Yahuna-787_iswinginthehammock-1	6 7 1 7 7 1 7 4 7	AXBYYBYBZ	JIPAYKYNI	6	6.J.C 6.I.V 6.P.C 6.A.V 6.Y.V 6.K.C 6.Y.V 6.N.C 6.I.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	jibaukuni	0	5
3083	I swing in the hammock	I swing in the hammock	kochtukanoan	K-Yahuna	yahu1241	yibáu(i)kuni	yibáukuni	j i b a u k u n i	kochtukanoan-Yahuna-787_iswinginthehammock-2	6 7 1 7 7 1 7 4 7	AXBYYBYBZ	JIPAYKYNI	6	6.J.C 6.I.V 6.P.C 6.A.V 6.Y.V 6.K.C 6.Y.V 6.N.C 6.I.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	jibaukuni	1	5
1833	I want to sleep	I want to sleep	kochtukanoan	K-Desano	desa1247	kalī́(t)x̯e̥ kānioi̯y(e)ā́ni	kalī́x̯e̥_kānioi̯yā́ni	k a ɺ i i tʃ ɨ + k a a n i ɔ i j a a n i	kochtukanoan-Desano-791_iwanttosleep-1	1 7 5 7 7 1 7 9 1 7 7 4 7 7 7 6 7 7 4 7	AXBYYBZ_AXYBYYYBYYBZ	KARIITI_KAANIUIJAANI	4	4.K.C 4.A.V 4.R.C 4.I.V 4.I.V 4.T.C 4.I.V 4._._ 4.K.C 4.A.V 4.A.V 4.N.C 4.I.V 4.U.V 4.I.V 4.J.C 4.A.V 4.A.V 4.N.C 4.I.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8 0.0 2.0 1.5 1.3 1.75 1.3 1.3 1.3 1.75 1.3 1.3 1.75 0.8	kaɺiitʃɨ+kaaniɔijaani	0	6
3085	I want to sleep	I want to sleep	kochtukanoan	K-Yahuna	yahu1241	mikā́be̠	mikā́be̠	m i k a a b ɛ	kochtukanoan-Yahuna-791_iwanttosleep-1	4 7 1 7 7 1 7	AXBYYBZ	MIKAAPE	6	6.M.C 6.I.V 6.K.C 6.A.V 6.A.V 6.P.C 6.E.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	mikaabɛ	0	8
3474	I want to sleep	I want to sleep	kochtukanoan	K-Koretu	cure1236	hõkiahá	hõkiahá	h ɔ̃ k i a h a	kochtukanoan-Koretu-791_iwanttosleep-1	3 7 1 7 7 3 7	AXBYYBZ	HUKIAHA	5	5.H.C 5.U.V 5.K.C 5.I.V 5.A.V 5.H.C 5.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	hɔ̃kiaha	0	7
2311	I want water	I want water	kochtukanoan	K-Yupua	jupu1235	de̠(x̯)kó i(t)x̯é̥	de̠kó_ix̯é̥	d ɛ k ɔ + i tʃ ɨ	kochtukanoan-Yupua-750_iwantwater-1	1 7 1 7 9 7 1 7	AXBZ_XBZ	TEKU_ITI	7	7.T.C 7.E.V 7.K.C 7.U.V 7._._ 7.I.V 7.T.C 7.I.V	2.0 1.5 1.75 0.8 0.0 1.5 1.75 0.8	dɛkɔ+itʃɨ	0	9
