Grapheme	IPA
_	+
ue̥é̥	w ɨ ɨ
uhúāya	u h u a a j a
āminiḗ̠ga	a a m i n i ɛ ɛ g a
siáaya	s i a a j a
kōpahe̠ká	k ɔ ɔ p a h ɛ k a
yóḥe̠	j ɔ h ɛ
ex̯tóga	e h t ɔ g a
kā́laga	k a a ɺ a g a
uali	w a ɺ i
uā́li	w a a ɺ i
moxtsá	m ɔ h ts a
mósa	m ɔ s a
muhá	m u h a
muxtā́re̥	m u h t a a ɾ ɨ
bóso	b ɔ s ɔ
bohó	b ɔ h ɔ
bui	b u i
búi	b u i
būía	b u u i a
bóto	b ɔ t ɔ
pahā́nika	p a h a a n i k a
duhāyá	d u h a a j a
lítaha	ɺ i t a h a
tirítote̠	t i ɾ i t ɔ t ɛ
diákea	d i a k e a
áūli	a u u ɺ i
gáhua	g a h u a
ualíase̥	w a ɺ i a s ɨ
gáhue	g a h u e
kolópagá	k ɔ ɺ ɔ p a g a
doé	d ɔ e
oalákaka	ɔ a ɺ a k a k a
uarákie̥	w a ɾ a k i ɨ
ā̃nyã́nyaru	ã ã ɲ ã ɲ a ɾ u
ūpuálikaka	u u p u a ɺ i k a k a
ē̠má	ɛ ɛ m a
ī́mu	i i m u
ē̠múa	ɛ ɛ m u a
aútone̠ne̥	a u t ɔ n ɛ n ɨ
gé̥labe̠	g ɨ ɺ a b ɛ
gé̥tago	g ɨ t a g ɔ
itopé̠a	i t ɔ p ɛ a
sike̥tágoḥe̠	s i k ɨ t a g ɔ h ɛ
yagé̥tago	j a g ɨ t a g ɔ
uā́galo	w a a g a ɺ ɔ
uā́gāro	w a a g a a ɾ ɔ
bóleka	b ɔ ɺ e k a
bṓle̠ka	b ɔ ɔ ɺ ɛ k a
botáka	b ɔ t a k a
pṓle̠kia	p ɔ ɔ ɺ ɛ k i a
de̥xká	d ɨ h k a
dika	d i k a
nikapé̠pe̠	n i k a p ɛ p ɛ
silikíape̥	s i ɺ i k i a p ɨ
pāmú	p a a m u
pamólo	p a m ɔ ɺ ɔ
pamúa	p a m u a
hāmu	h a a m u
pāmúgaxsiro	p a a m u g a h s i ɾ ɔ
kā́doxka	k a a d ɔ h k a
kākope̠roka	k a a k ɔ p ɛ ɾ ɔ k a
ā́noi̯ye	a a n ɔ i j e
gā́le̥e	g a a ɺ ɨ e
ālía	a a ɺ i a
kiánekia	k i a n e k i a
ā́noye	a a n ɔ j e
ālí	a a ɺ i
nuxhoá	n u h ɔ a
ū́a	u u a
gaā́pimóa	g a a a p i m ɔ a
be̥ámo	b ɨ a m ɔ
kā́ko	k a a k ɔ
pā́ko	p a a k ɔ
kumé	k u m e
kū́mi	k u u m i
kōmé̠a	k ɔ ɔ m ɛ a
komé̠tako	k ɔ m ɛ t a k ɔ
mihí	m i h i
píidika	p i i d i k a
pipirika	p i p i ɾ i k a
hihī́re̥	h i h i i ɾ ɨ
yomimákalaka	j ɔ m i m a k a ɺ a k a
tsũũpínũõã	ts ũ ũ p i n ũ ɔ̃ ã
pe̥lá	p ɨ ɺ a
uaḥé̠a	w a h ɛ a
siḥe̠te̠hī́re̥	s i h ɛ t ɛ h i i ɾ ɨ
pe̥lág	p ɨ ɺ a g e
yape̥lág	j a p ɨ ɺ a g e
mohṓpama	m ɔ h ɔ ɔ p a m a
pitapé̠ta	p i t a p ɛ t a
yē̠pu̠nī́ka	j ɛ ɛ p ʊ n i i k a
ue̥lí	w ɨ ɺ i
ī́nehītia	i i n e h i i t i a
lā́roe̠	ɺ a a ɾ ɔ ɛ
yē̠pu̠lī́ka	j ɛ ɛ p ʊ ɺ i i k a
te̠alíue̠koa	t ɛ a ɺ i w ɛ k ɔ a
uaá	w a a
uālá	w a a ɺ a
iúa	j u a
ohó	ɔ h ɔ
abótiga	a b ɔ t i g a
óyagaga	ɔ j a g a g a
haúioake̠re̥	h a u j ɔ a k ɛ ɾ ɨ
soāgá	s ɔ a a g a
yuxké̥gaxtsīro	j u h k ɨ g a h ts i i ɾ ɔ
yābugáti	j a a b u g a t i
yapuáḥe̠a	j a p u a h ɛ a
tōke̥rasḗ̠re̥	t ɔ ɔ k ɨ ɾ a s ɛ ɛ ɾ ɨ
tsége	ts e g e
sḗ̠na	s ɛ ɛ n a
sḗ̠ra	s ɛ ɛ ɾ a
ōyó	ɔ ɔ j ɔ
ṓdye̥	ɔ ɔ dʒ ɨ
ṓdyo	ɔ ɔ dʒ ɔ
hóio̯	h ɔ j ɔ
hóiyo	h ɔ i j ɔ
īnaguanā́ni	i i n a g u a n a a n i
guáiu̯	g u a j u
mū́yāli	m u u j a a ɺ i
okiá	ɔ k i a
uanā́ni	w a n a a n i
ēmíparo	e e m i p a ɾ ɔ
pu̠lé̥	p ʊ ɺ ɨ
pōtía	p ɔ ɔ t i a
hṓnto	h ɔ ɔ n t ɔ
uex̯kóiṅinu	w e h k ɔ i ŋ i n u
nahe̠ṓme̠a	n a h ɛ ɔ ɔ m ɛ a
koālapái	k ɔ a a ɺ a p a i
kóālapái	k ɔ a a ɺ a p a i
dix̯sípoali	d i h s i p ɔ a ɺ i
dix̯sipoa	d i h s i p ɔ a
dihe̠táya	d i h ɛ t a j a
sigoi̯tagiáḥoiri	s i g ɔ i t a g i a h ɔ i ɾ i
lihe̠táya	ɺ i h ɛ t a j a
goi̯takiáḥoiri	g ɔ i t a k i a h ɔ i ɾ i
momḗ̠me̥la	m ɔ m ɛ ɛ m ɨ ɺ a
uáimúmi	w a i m u m i
mapáka	m a p a k a
mū́mire̥	m u u m i ɾ ɨ
wiipé̥le̥pe̥	w i i p ɨ ɺ ɨ p ɨ
pā́ru	p a a ɾ u
tuxtúlu	t u h t u ɺ u
ye̠me̠á	j ɛ m ɛ a
síhake̠ke̥	s i h a k ɛ k ɨ
yatuxtúlu	j a t u h t u ɺ u
yadutúru	j a d u t u ɾ u
mamiyimí	m a m i j i m i
uatópōro	w a t ɔ p ɔ ɔ ɾ ɔ
pālopigá	p a a ɺ ɔ p i g a
kóatsuru	k ɔ a ts u ɾ u
kóa	k ɔ a
