Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^	NULL				
$	NULL				
k	k	hóatanikerokaíkaka, síhake̠ke̥	Yahuna, Koretu, Desano, Yupua	100	U+006b
l	l	dṓlo, me̥ḥolaláḥani	Desano, Yupua, Yahuna, Koretu	100	U+006c
a	a	mamálaḥe̠, tsapé̠ualalanika	Yahuna, Yupua, Desano, Koretu	100	U+0061
i	i	sikotitile̥, gubū́tsinidix̯peru	Desano, Yahuna, Koretu, Yupua	100	U+0069
a$	a	tsiúpona, uipóa	Yahuna, Desano, Yupua, Koretu	100	U+0061 U+0024
p	p	óxpe̥le̥, nikapé̠pe̠tū́liaka	Yahuna, Desano, Yupua, Koretu	100	U+0070
r	r	uērériru, mohṓtsirupē̠ru	Desano, Koretu, Yahuna, Yupua	100	U+0072
m	m	mamálaḥe̠, yamimage̠áue̠	Yahuna, Desano, Yupua, Koretu	100	U+006d
n	n	sínoni, tsiúpona	Yahuna, Desano, Koretu, Yupua	100	U+006e
t	t	pitatī́tiaka, pitatóti	Yahuna, Yupua, Koretu, Desano	100	U+0074
o	o	tsiúpona, yakotáya	Desano, Yahuna, Koretu, Yupua	100	U+006f
i$	i	nix̯ti, yímogati	Desano, Koretu, Yupua, Yahuna	100	U+0069 U+0024
^m	m	makáge̥, mamálaḥe̠	Desano, Yahuna, Yupua, Koretu	100	U+005e U+006d
u	u	muhúua̯tsutsī́ge̥le̥, guhī́kuli	Desano, Yahuna, Yupua, Koretu	100	U+0075
h	h	hihohutía, imíliha	Yahuna, Desano, Yupua, Koretu	100	U+0068
e̥$	e̥	sé̠se̠talage̥, óxpe̥le̥	Koretu, Yupua, Desano	100	U+0065 U+0325 U+0024
ó	ó	uitóa, yoxkólo	Yahuna, Desano, Yupua, Koretu	100	U+00f3
g	g	siī́ṅgee̥, sé̠se̠talage̥	Yupua, Yahuna, Desano, Koretu	100	U+0067
^k	k	karíua, kē̠rá	Yahuna, Desano, Koretu, Yupua	100	U+005e U+006b
ā́	á	lā́ko, wā́dali	Yahuna, Koretu, Desano, Yupua	100	U+0101 U+0301
u$	u	gámu, yikadípu	Desano, Yupua, Koretu, Yahuna	100	U+0075 U+0024
^p	p	pē̠ká, pōtía	Yahuna, Desano, Yupua, Koretu	100	U+005e U+0070
o$	o	dṓlo, dé̠ko	Desano, Koretu, Yupua, Yahuna	100	U+006f U+0024
ā	ā	uālá, tāpía	Yahuna, Desano, Koretu, Yupua	100	U+0101
e̠	e̠	sé̠se̠talage̥, kope̠re̠ká	Yahuna, Koretu, Yupua, Desano	100	U+0065 U+0320
á	á	makáge̥, yutáka	Yahuna, Yupua, Desano, Koretu	100	U+00e1
b	b	be̥xbé̥bogabu, sé̠se̠buti	Desano, Yupua, Yahuna, Koretu	100	U+0062
é̠	é̠	dé̠ko, ābé̠_tsīnĩe	Yahuna, Koretu, Desano, Yupua	100	U+00e9 U+0320
e̥	e̥	yuxke̥de̥xká, me̥pe̥lí	Desano, Yupua, Koretu, Yahuna	100	U+0065 U+0325
á$	á	uālá, kē̠rá	Yahuna, Desano, Yupua, Koretu	100	U+00e1 U+0024
^b	b	bōlá, bū́lu	Desano, Yupua, Yahuna, Koretu	100	U+005e U+0062
^d	d	dex̯kó, dṓlo	Desano, Yahuna, Yupua, Koretu	100	U+005e U+0064
x	x	yuxke̥de̥xká, yuxké̥de̥xkagaxtsī́ro	Desano, Yupua, Yahuna, Koretu	100	U+0078
